ID,medv
3,31.451966862774018
6,26.12454477197992
8,18.898326619585802
9,10.107597337048833
10,18.559772062437176
18,16.85402089875948
20,18.569098345766896
25,15.421259358108987
26,12.936267036119974
27,15.312020829929729
29,19.58773079528848
30,21.032914949168774
33,7.575577554103813
34,13.69762079907028
36,23.95136175277947
37,22.387211336145214
38,23.65625696484019
42,29.424268234867775
49,7.816626761895694
53,28.076944167861207
60,20.76674070643288
63,23.738727988812943
70,21.3008259042242
72,22.492728093690936
79,21.79166795997825
80,23.21597501769234
83,25.857313449099628
92,27.687183729050332
93,27.911266223548044
96,29.119505888707188
98,36.57510207169129
99,36.30240059455062
100,32.952901074201634
105,21.327483257570535
106,18.014952053187834
111,20.935469075284644
113,20.59304283636067
114,20.528809331131388
116,20.22355630196222
126,21.381789379277976
130,13.521142231108811
131,19.92059770803224
133,20.057597241744997
136,16.886115397688386
141,12.67271817392681
144,11.739274109108514
145,7.9758104268279375
147,15.338674610669866
152,18.382397357184914
153,21.457124188717884
156,21.0564802630936
158,33.742336699323886
163,42.61161311347648
169,26.34347984709721
185,22.09802111102467
186,24.543602257544233
189,31.846453785444353
196,38.77029744748107
197,34.373420951244384
199,32.740354123031125
200,27.897412741605258
203,35.34856985117247
208,17.475136594476854
210,17.063236046051195
211,22.959259494192573
213,23.716911517707373
216,24.973105236475188
218,28.433600822655723
219,25.364848776912197
220,30.73268829356737
221,34.45959651203592
229,36.84520353534001
232,33.9772535812691
238,33.60429941418428
239,28.39713180351125
240,28.123659190053477
242,22.86019508306401
246,12.629510226487872
248,19.584319276794965
253,26.070942472407353
255,21.97811053152537
256,19.641877112075175
257,34.77416791909803
258,43.27311572589299
259,35.92615445311659
260,34.44144543649013
268,40.76011092480355
270,25.749940867653496
271,21.520810950851452
276,32.91941144764132
277,35.76000887112923
278,35.270641090656724
279,29.25071396285373
281,38.781901285965034
288,25.88616138900925
290,25.701987981136643
292,31.866837067722777
295,24.99617316317652
296,29.576767841636105
299,27.736428715425273
300,30.779626303940525
301,29.188114149064035
308,31.40242791710405
314,25.793364682176648
315,25.7157678280311
320,21.64559535448171
322,25.56010769390106
323,23.53921535448387
324,19.548148924617216
327,24.81453123197838
330,25.88209368811365
332,19.285744905148277
333,22.943247819778477
336,21.485825989276833
338,19.64877283814945
346,17.729552371089046
347,15.729893117756093
351,20.322907043589296
352,20.04078326551295
354,23.177853680611484
355,12.401484402187887
356,14.878693221048955
362,19.74981773804331
364,22.08100387458965
365,40.33198928018185
370,35.02545349579582
376,27.111857086196796
379,17.164201120259623
380,17.820421418607623
381,20.592804026143806
382,19.464121553927576
386,8.361547728007238
389,6.477395761639652
391,17.834028954203273
394,21.17116529403366
396,21.102363496074553
398,16.761281079147363
400,10.94394890111311
403,18.84966095800682
405,9.554717056716127
406,12.39383531605693
407,8.679846143543601
410,20.17470092540998
411,17.931616332289217
412,16.78526594194264
413,0.7170665698564171
417,12.983567646055782
421,20.541815820123055
422,18.740287320115794
423,19.33767575994012
424,12.498024300386525
427,16.68691322086746
431,18.1002199757925
436,13.466233602095027
437,14.91447612277472
439,4.299219803195669
447,18.237314645974102
450,17.699343615613323
451,16.42810094126844
455,15.319411139422627
457,12.345473690512234
471,20.835718893229235
474,26.782239914676587
476,15.94996694646875
483,30.07767233200279
486,23.682531283797903
490,7.772523634235899
495,21.0516655938034
496,17.23508138856026
497,13.658076533670087
499,21.556963340647265
501,20.506775864824114
505,26.216362047691522
